,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,27,28,29,30,31,32,33,34,35,36,26
0,79.212776,62.550514,74.55114,74.4241,62.220306,53.980854,41.94527,57.184814,35.660343,51.088406,33.823795,25.471859,25.256792,28.204807,31.197388,43.396194,34.239,58.6217,43.3841,37.341152,43.429996,28.190102,18.87067,31.155548,18.826868,49.30081,55.395466,55.395508,49.29919,31.01642,55.573685,34.285805,31.237776,55.395493,55.395443,17.282164
3600,79.804474,63.142212,75.14619,75.013756,62.808887,54.553856,42.478893,57.71857,36.18592,51.62229,34.33248,25.917376,25.680107,28.61691,31.59873,43.80861,34.647606,59.031082,43.79441,37.755547,43.84653,28.606607,19.223328,31.542688,19.162188,49.637943,55.732967,55.73303,49.636753,31.352467,55.983093,34.702393,31.654373,55.732956,55.732956,17.60579
7200,80.30568,63.643417,75.64846,75.5143,63.30909,55.049057,42.96146,58.20118,36.6659,52.104927,34.807,26.371283,26.126749,29.059816,32.037994,44.25208,35.089867,59.47351,44.23718,38.199097,44.29069,29.050756,19.645664,31.977032,19.578451,50.05472,56.14986,56.14991,50.05367,31.768934,56.425537,35.14657,32.09855,56.149857,56.149857,18.01783
10800,80.745865,64.08358,76.08864,75.95448,63.74927,55.489235,43.401638,58.641354,37.10608,52.54511,35.247177,26.81146,26.566927,29.499994,32.478165,44.692257,35.530045,59.913692,44.677357,38.639275,44.730865,29.490934,20.085842,32.41721,20.01863,50.494896,56.590042,56.59009,50.493847,32.20911,56.86572,35.586746,32.538727,56.59003,56.59003,18.458008
14400,81.29046,64.62818,76.63447,76.49832,64.292725,56.026962,43.924854,59.164608,37.626316,53.068394,35.761116,27.30156,27.04859,29.977127,32.95091,45.171566,36.008118,60.391922,45.15596,39.117107,45.209347,29.969406,20.538393,32.884094,20.463913,50.94073,57.035995,57.03604,50.939835,32.654617,57.343967,36.06525,33.01723,57.035995,57.035995,18.898186
18000,81.38476,64.722496,76.724174,76.595436,64.39129,56.146904,44.09885,59.33844,37.811382,53.24208,35.969505,27.597727,27.375706,30.320038,33.309174,45.51292,36.35471,60.737686,45.500324,39.457153,45.546715,30.30681,20.967714,33.26302,20.918684,51.39324,57.487995,57.48806,51.391716,33.10848,57.689686,36.40254,33.35451,57.48798,57.487984,19.37052
21600,78.239204,62.366318,74.46844,74.41963,62.22381,54.350376,43.129707,58.369244,36.960896,52.27282,35.32121,27.460173,27.393703,30.4147,33.452515,45.60609,36.45825,60.840126,45.600685,39.55082,45.639454,30.399557,21.249231,33.44847,21.246414,51.72018,57.81476,57.814835,51.718433,33.435894,57.79199,36.49525,33.44722,57.81474,57.81474,19.722275
25200,75.9995,60.759495,72.950935,72.951454,60.759705,53.141388,42.47814,57.718002,36.38349,51.621872,34.86295,27.261944,27.269653,30.325468,33.383224,45.54799,36.403973,60.787178,45.54716,39.467094,45.560875,30.320902,21.236097,33.395725,21.253168,51.731285,57.826862,57.826878,51.730766,33.444405,57.73911,36.416805,33.368797,57.82685,57.82685,19.7439
28800,75.73023,60.490234,72.681656,72.68218,60.490437,52.87212,42.208874,57.44873,36.11422,51.352604,34.593674,26.992668,27.000387,30.056202,33.11396,45.278725,36.134705,60.517914,45.27789,39.19783,45.291607,30.051634,20.966822,33.12646,20.9839,51.46202,57.55759,57.55761,51.46149,33.175137,57.46984,36.14754,33.099533,57.557583,57.557583,19.474634
