,10,15,20,35,40,50,60,601,61,101,103,105,107,109,111,113,115,117,119,120,121,123,125,127,129,131,139,141,143,145,147,149,151,153,157,159,161,163,164,166,167,169,171,173,177,179,181,183,184,185,187,189,191,193,195,197,199,201,203,204,205,206,207,208,209,211,213,215,217,219,225,229,231,237,239,241,243,247,249,251,253,255,257,259,261,263,265,267,269,271,273,275,273_317,161_221,239_283,249_295,257_303,119_120,217_257,193_311,184_204,211_269,255_293,255_291,269_325,169_187,205_237,147_155,187_186,253_291,163_321,127_135,River,Lake,1,2,3
0,44.355488,38.347282,48.158405,44.422405,44.196,42.672,63.70645,92.1879,92.1879,44.355488,44.346046,44.75354,44.75157,44.346207,44.534046,44.546295,44.78075,45.729214,48.022255,47.280666,49.0761,50.434555,48.89835,48.38389,48.38022,48.37404,46.657413,45.43354,42.13741,45.80527,46.087166,46.206295,47.37941,47.408745,47.279053,46.256004,45.56199,45.422245,45.422245,45.422237,44.852142,44.85237,44.521923,44.515224,44.41858,44.41442,44.424377,44.415443,44.04074,44.2195,44.434082,44.528233,44.51621,44.545628,44.56723,44.519108,42.92539,42.70109,42.65102,44.358376,42.915882,42.63981,42.701344,42.570072,42.44905,42.408527,42.38851,42.32965,42.32358,42.320065,42.321697,42.360527,42.35923,42.39298,42.39305,42.393074,42.392952,42.394184,42.394184,42.39765,42.43385,42.450096,46.329082,46.196217,45.714714,45.664772,45.033707,44.552326,44.650833,44.45175,42.915882,42.703213,42.91585,45.561844,42.393055,42.394184,46.32894,48.021927,42.32358,44.54563,44.04066,42.408527,42.45008,42.450092,44.650784,44.852287,42.91582,46.087124,44.433838,42.433853,45.42214,48.383884,67.056,50.9016,44.196,42.672,48.1584
900,44.393436,38.400322,48.2234,44.458332,44.245575,42.56952,63.709023,92.205154,92.205154,44.393436,44.383934,44.792423,44.790417,44.38408,44.57133,44.583336,44.819145,45.770603,48.06953,47.32607,49.12651,50.483925,48.951218,48.444714,48.441036,48.434856,46.713734,45.486576,42.19045,45.857437,46.138737,46.25762,47.42853,47.45797,47.32375,46.297115,45.600643,45.460403,45.460403,45.4604,44.88823,44.888454,44.556652,44.549877,44.4548,44.450897,44.460304,44.451862,44.071823,44.25295,44.469807,44.564644,44.553043,44.58257,44.604202,44.556046,42.94221,42.715622,42.665554,44.3933,42.93205,42.640015,42.71122,42.55932,42.41928,42.372368,42.351772,42.29291,42.286842,42.283325,42.284958,42.31708,42.315784,42.34572,42.345375,42.34538,42.345253,42.345783,42.345783,42.34772,42.369865,42.386112,46.372025,46.23882,45.75607,45.705997,45.070465,44.58909,44.687042,44.48736,42.932053,42.7167,42.932026,45.600506,42.345375,42.345783,46.371883,48.0692,42.286842,44.58257,44.07174,42.372364,42.3861,42.386105,44.68699,44.888367,42.931988,46.138695,44.469555,42.36987,45.4603,48.444714,67.056,50.9016,44.245575,42.56952,48.223396
1800,44.431698,38.453148,48.287746,44.494606,44.293514,42.477055,63.711597,92.22238,92.22238,44.431698,44.422146,44.8316,44.82955,44.422276,44.608967,44.620728,44.85785,45.8122,48.116814,47.371548,49.17681,50.53318,49.003887,48.50505,48.501366,48.495186,46.769722,45.539406,42.24328,45.909428,46.190155,46.308807,47.477592,47.50712,47.368546,46.338467,45.63964,45.498917,45.498917,45.498913,44.924747,44.924976,44.59187,44.585022,44.491325,44.487644,44.49658,44.48856,44.103596,44.286934,44.505943,44.601414,44.59025,44.61986,44.641537,44.593346,42.96086,42.732216,42.682148,44.428677,42.949944,42.64185,42.722538,42.550407,42.391724,42.338547,42.31733,42.25847,42.252403,42.248882,42.250515,42.27481,42.273514,42.29964,42.297985,42.297985,42.297867,42.29803,42.29804,42.298935,42.309875,42.32612,46.41512,46.281586,45.797626,45.747437,45.107628,44.6262,44.723637,44.523357,42.94998,42.73264,42.94995,45.6395,42.297985,42.29804,46.414978,48.116478,42.2524,44.61986,44.10351,42.338543,42.32611,42.326115,44.723587,44.924885,42.949875,46.190113,44.505688,42.30988,45.49881,48.50505,67.056,50.9016,44.293514,42.477055,48.287743
2700,44.4702,38.505733,48.351456,44.531128,44.34003,42.393826,63.714157,92.239555,92.239555,44.4702,44.46059,44.87098,44.868893,44.46071,44.64686,44.658386,44.89677,45.853928,48.16405,47.417027,49.226963,50.582294,49.056328,48.564896,48.5612,48.555023,46.825367,45.59199,42.29586,45.961205,46.241375,46.3598,47.526543,47.556164,47.413387,46.37998,45.67888,45.537685,45.537685,45.53768,44.96159,44.96182,44.62747,44.620556,44.528072,44.52457,44.533104,44.525455,44.135933,44.32133,44.542385,44.638447,44.62771,44.657413,44.679123,44.630905,42.98107,42.750546,42.700478,44.464397,42.969322,42.64533,42.73527,42.543396,42.36651,42.307213,42.28536,42.226498,42.22043,42.21691,42.218544,42.23415,42.23285,42.25537,42.251747,42.251743,42.251617,42.25169,42.251698,42.25196,42.254078,42.27032,46.458305,46.324444,45.839325,45.78901,45.1451,44.66358,44.760525,44.55964,42.96943,42.75063,42.969395,45.678738,42.251747,42.251698,46.45816,48.163715,42.22043,44.657417,44.13585,42.307205,42.270317,42.270317,44.76047,44.961735,42.969257,46.241333,44.54213,42.25408,45.53758,48.56489,67.056,50.9016,44.34003,42.393826,48.351448
3600,73.059395,38.639145,48.41456,45.325188,44.38529,42.31914,63.75144,92.48998,92.48998,52.66971,51.870274,49.831295,49.610455,50.105625,48.140133,47.54635,48.39148,48.940456,49.071735,49.07222,49.957264,51.297478,49.667835,48.809776,48.805477,48.793217,47.010796,45.76164,42.429276,46.14616,46.460384,46.595825,48.004147,48.028496,48.3201,47.29282,46.59998,46.453518,46.453514,46.453506,45.84292,45.84337,45.44431,45.436203,45.31655,45.30894,45.327316,45.34658,45.01969,45.263718,45.773045,45.75492,46.560814,46.565376,46.566113,46.993546,43.51317,43.254044,43.202038,45.59335,43.484146,42.94915,43.142265,42.730286,42.350494,42.22316,42.178753,42.061954,42.04991,42.04293,42.04617,42.06206,42.059483,42.098747,42.087658,42.087624,42.08738,42.087086,42.087105,42.08716,42.079994,42.112236,49.083725,49.09647,49.078392,49.147434,46.046947,46.124622,45.768955,45.36117,43.4877,43.246258,43.487667,46.599976,42.087658,42.087105,49.083725,49.071735,42.04991,46.56525,45.019577,42.22314,42.112225,42.112225,45.768852,45.84327,43.484055,46.46033,45.772457,42.080006,46.453407,48.809776,67.056,50.9016,44.38529,42.31914,48.414547
4500,73.077156,38.71655,48.502556,45.394253,44.49327,42.22046,63.755207,92.51534,92.51534,52.72713,51.928978,49.8974,49.676796,50.167606,48.207203,47.613922,48.45954,49.01108,49.144043,49.144413,50.03111,51.36979,49.74403,48.89365,48.889343,48.877087,47.09091,45.83904,42.506676,46.222836,46.53654,46.671776,48.078125,48.10253,48.39137,47.362656,46.66883,46.52218,46.522175,46.522167,45.910786,45.911236,45.51158,45.5034,45.386166,45.37902,45.396378,45.41606,45.08359,45.330193,45.840836,45.82305,46.628822,46.633415,46.634167,47.06129,43.56367,43.3029,43.250885,45.660675,43.531883,42.97066,43.17773,42.73598,42.328743,42.192184,42.146767,42.02997,42.017925,42.01095,42.014183,42.014698,42.01212,42.046497,42.031143,42.031082,42.030834,42.02987,42.029892,42.029797,42.01382,42.046062,49.155308,49.16778,49.148834,49.217674,46.115078,46.192715,45.83702,45.429745,43.536194,43.293568,43.536156,46.668827,42.031143,42.029892,49.155304,49.144043,42.017925,46.633293,45.08348,42.19216,42.04606,42.04605,45.836918,45.911133,43.531784,46.536495,45.840244,42.013832,46.522068,48.89365,67.056,50.9016,44.493267,42.22046,48.50255
5400,73.09498,38.793755,48.590057,45.463524,44.598835,42.13048,63.75897,92.54067,92.54067,52.784737,51.987865,49.963703,49.743332,50.229782,48.274483,47.68171,48.527805,49.081917,49.216312,49.216587,50.104843,51.442005,49.820053,48.977146,48.972836,48.960575,47.170753,45.916245,42.58388,46.299335,46.612545,46.74757,48.15202,48.176476,48.46267,47.432613,46.737877,46.59105,46.591045,46.591034,45.97891,45.979362,45.57916,45.57091,45.455948,45.449234,45.465652,45.485706,45.14791,45.396954,45.90888,45.89142,46.697063,46.701683,46.702454,47.129253,43.61534,43.353016,43.30101,45.728264,43.58077,42.99399,43.21467,42.74389,42.309887,42.164337,42.117924,42.001125,41.98908,41.9821,41.98534,41.969975,41.967396,41.997314,41.977345,41.97725,41.977,41.97517,41.975197,41.97467,41.952217,41.984455,49.226715,49.239,49.219604,49.288124,46.183453,46.26105,45.905334,45.498558,43.585865,43.34213,43.585827,46.737873,41.97734,41.975197,49.226715,49.216312,41.98908,46.70156,45.147793,42.16431,41.98445,41.984447,45.90523,45.97926,43.58067,46.6125,45.908287,41.952225,46.59094,48.977146,67.056,50.9016,44.59883,42.13048,48.59005
6300,73.1128,38.87075,48.677074,45.532913,44.702103,42.04872,63.762722,92.56596,92.56596,52.842354,52.046764,50.03,49.809864,50.29198,48.341797,47.74956,48.596085,49.152718,49.288517,49.288708,50.17846,51.514095,49.895893,49.06026,49.055946,49.043686,47.250313,45.99324,42.66088,46.375652,46.688374,46.823204,48.225796,48.250298,48.53396,47.50264,46.80704,46.660046,46.66004,46.66003,46.04722,46.04767,45.64695,45.63864,45.525818,45.519505,45.535046,45.555443,45.212532,45.463924,45.977077,45.959938,46.76541,46.77006,46.770847,47.19731,43.668034,43.404243,43.352238,45.79603,43.630665,43.019028,43.252953,42.753906,42.293858,42.139545,42.092148,41.97535,41.96331,41.95633,41.959564,41.92796,41.92538,41.951252,41.926403,41.92627,41.92603,41.92318,41.923218,41.92205,41.89518,41.927414,49.298107,49.310192,49.290344,49.358532,46.251987,46.32952,45.9738,45.567513,43.636574,43.391785,43.636536,46.807037,41.926403,41.923218,49.298103,49.288517,41.96331,46.76994,45.212418,42.139515,41.927414,41.927402,45.973698,46.047565,43.63056,46.688328,45.976486,41.895187,46.659935,49.06026,67.056,50.9016,44.702103,42.04872,48.677067
7200,73.56966,39.753426,48.763622,46.239246,44.803192,41.97476,63.793373,92.772804,92.772804,54.317837,53.569107,51.258255,51.042267,51.804947,49.47054,48.78038,49.662045,50.024998,49.986195,50.041313,50.779766,52.102974,50.420727,49.310345,49.307087,49.299847,47.862926,46.846912,43.543552,47.282505,47.61284,47.752445,49.127174,49.14905,49.2517,48.24223,47.55829,47.409702,47.4097,47.409695,46.78827,46.78854,46.374657,46.366524,46.22544,46.212402,46.241405,46.261864,45.958683,46.206535,46.75506,46.72593,47.64503,47.645576,47.64372,48.15508,44.437454,44.174244,44.122665,46.56153,44.399094,43.69923,43.98854,43.371353,42.802383,42.611298,42.572067,42.503075,42.49596,42.49184,42.49375,42.23062,42.229103,42.22517,42.128933,42.12808,42.127937,42.103733,42.10389,42.079865,41.98947,42.008514,50.142693,50.16787,50.173172,50.268566,46.996655,47.13199,46.73127,46.279892,44.405243,44.1575,44.405205,47.558296,42.128914,42.103886,50.142696,49.986225,42.49596,47.64543,45.958572,42.611237,42.008537,42.00851,46.73115,46.788433,44.398983,47.61279,46.754425,41.98948,47.409584,49.310345,67.056,50.9016,44.803192,41.97476,48.76361
