,10,15,20,35,40,50,60,601,61,101,103,105,107,109,111,113,115,117,119,120,121,123,125,127,129,131,139,141,143,145,147,149,151,153,157,159,161,163,164,166,167,169,171,173,177,179,181,183,184,185,187,189,191,193,195,197,199,201,203,204,205,206,207,208,209,211,213,215,217,219,225,229,231,237,239,241,243,247,249,251,253,255,257,259,261,263,265,267,269,271,273,275,River,Lake,1,2,3
0,44.35553,38.347256,48.158405,44.42247,44.196,42.672,63.706448,92.18788,92.18788,44.35553,44.346085,44.753597,44.751633,44.34624,44.534073,44.546318,44.780804,45.729324,48.022175,47.28084,49.076042,50.434498,48.898304,48.38387,48.3802,48.374023,46.657394,45.433517,42.137386,45.80525,46.087093,46.20623,47.37934,47.408676,47.278965,46.25591,45.56188,45.42214,45.42214,45.42213,44.85214,44.852364,44.522,44.515297,44.418636,44.414482,44.424442,44.415504,44.04085,44.219635,44.43406,44.528244,44.516224,44.54565,44.56725,44.51912,42.92547,42.70117,42.651104,44.358566,42.91596,42.639885,42.701427,42.57014,42.449112,42.408585,42.38856,42.329704,42.323635,42.320114,42.321747,42.360577,42.35928,42.39303,42.3931,42.393124,42.392998,42.39423,42.39423,42.39769,42.43389,42.450127,46.329174,46.196312,45.71483,45.664883,45.033703,44.552345,44.65084,44.451817,42.91596,42.703297,67.056,50.9016,44.196,42.672,48.1584
900,44.39348,38.400295,48.223396,44.458397,44.24558,42.569523,63.709023,92.20514,92.20514,44.39348,44.383976,44.792484,44.790478,44.38412,44.571358,44.58336,44.819195,45.770718,48.069454,47.32624,49.126453,50.483868,48.95117,48.4447,48.44102,48.434845,46.71371,45.486553,42.190426,45.85741,46.138668,46.257553,47.428463,47.457893,47.32366,46.297016,45.600544,45.4603,45.460297,45.46029,44.88822,44.88845,44.55673,44.549946,44.454865,44.450962,44.46037,44.451923,44.071938,44.25309,44.469788,44.564663,44.553062,44.582592,44.604225,44.55606,42.94229,42.715706,42.665638,44.393494,42.932125,42.6401,42.71131,42.559395,42.419342,42.372425,42.35183,42.29297,42.2869,42.283382,42.285015,42.317135,42.315838,42.345768,42.34542,42.345425,42.345303,42.345833,42.345833,42.34777,42.369907,42.386143,46.372116,46.238914,45.75618,45.70611,45.070457,44.589108,44.68705,44.48743,42.932133,42.716785,67.056,50.9016,44.24558,42.569523,48.223392
1800,44.431744,38.453125,48.287743,44.494675,44.29353,42.47707,63.71159,92.22237,92.22237,44.431744,44.422188,44.831665,44.829617,44.422318,44.608997,44.620754,44.857903,45.812317,48.116737,47.37172,49.176758,50.533127,49.00384,48.50503,48.501347,48.495167,46.7697,45.53938,42.24325,45.909397,46.190083,46.308735,47.47752,47.50705,47.36846,46.33837,45.63954,45.498814,45.498814,45.49881,44.924744,44.92497,44.59195,44.585102,44.491398,44.48771,44.496647,44.48863,44.103718,44.287075,44.505924,44.601437,44.590263,44.619884,44.64156,44.59336,42.960945,42.7323,42.68223,44.428875,42.950016,42.641937,42.72263,42.550484,42.391785,42.338604,42.317387,42.25853,42.25246,42.248943,42.250572,42.274868,42.273567,42.299694,42.29804,42.29804,42.297916,42.298084,42.298088,42.29898,42.30992,42.326157,46.415215,46.28168,45.797745,45.747547,45.107628,44.626225,44.723648,44.523426,42.95006,42.732727,67.056,50.9016,44.29353,42.47707,48.28773
2700,44.470245,38.505707,48.351448,44.531204,44.340046,42.39385,63.714153,92.23953,92.23953,44.470245,44.460636,44.871044,44.86896,44.46075,44.64689,44.658413,44.89683,45.85405,48.16397,47.417206,49.226906,50.582237,49.056282,48.564873,48.56118,48.555004,46.825344,45.591965,42.295837,45.961178,46.241302,46.35973,47.526466,47.556087,47.413303,46.379883,45.67878,45.537582,45.537582,45.53758,44.96159,44.96182,44.627544,44.620636,44.528145,44.52464,44.533176,44.525524,44.13606,44.32148,44.54237,44.638477,44.62773,44.657444,44.679153,44.630928,42.981155,42.750637,42.700565,44.464603,42.969402,42.64542,42.73537,42.543472,42.366573,42.307274,42.28542,42.22656,42.22049,42.216972,42.218605,42.234203,42.232906,42.255424,42.251804,42.251793,42.25167,42.251743,42.25175,42.252018,42.254128,42.270363,46.458397,46.32454,45.83944,45.789124,45.1451,44.66361,44.76054,44.55971,42.96951,42.750717,67.056,50.9016,44.340046,42.39385,48.351444
3600,73.05937,38.63913,48.414547,45.32529,44.385315,42.31917,63.75144,92.48995,92.48995,52.669636,51.870205,49.831223,49.610386,50.105553,48.14005,47.546257,48.3914,48.94038,49.07167,49.07215,49.957207,51.297424,49.66778,48.809753,48.805454,48.793194,47.010777,45.76162,42.429256,46.14614,46.46031,46.59576,48.004078,48.02843,48.32002,47.29273,46.599876,46.45341,46.45341,46.453403,45.84292,45.84337,45.444412,45.436306,45.316654,45.30904,45.32742,45.346684,45.019875,45.26393,45.77294,45.754894,46.56071,46.565273,46.56601,46.99345,43.51328,43.25416,43.202156,45.59374,43.484253,42.949276,43.142403,42.7304,42.350582,42.223236,42.17883,42.062035,42.04999,42.043015,42.046253,42.062134,42.05956,42.098827,42.08773,42.087696,42.087456,42.087162,42.087177,42.087227,42.080074,42.112293,49.083656,49.096397,49.07832,49.147358,46.04695,46.12462,45.76894,45.361275,43.487812,43.24638,67.056,50.9016,44.385315,42.31917,48.41454
4500,73.07713,38.71653,48.50255,45.394352,44.493305,42.220497,63.755207,92.51532,92.51532,52.727066,51.92891,49.89733,49.676723,50.167534,48.20712,47.61383,48.459457,49.01101,49.14398,49.144344,50.031048,51.369736,49.743977,48.893627,48.889324,48.877064,47.09089,45.83902,42.506657,46.222816,46.536476,46.67171,48.07806,48.10247,48.39129,47.36256,46.668728,46.522076,46.52207,46.522064,45.910786,45.911236,45.511684,45.503506,45.38626,45.37912,45.39648,45.416157,45.083782,45.33041,45.840736,45.82303,46.628723,46.633312,46.634068,47.06119,43.56378,43.303013,43.251007,45.661068,43.531994,42.97079,43.177876,42.7361,42.32883,42.19227,42.146847,42.03005,42.01801,42.011032,42.014267,42.014774,42.0122,42.046577,42.031216,42.031155,42.03091,42.02994,42.029964,42.029873,42.013912,42.046127,49.15524,49.16771,49.14876,49.217606,46.115078,46.192715,45.837006,45.429848,43.5363,43.29369,67.056,50.9016,44.493298,42.220497,48.502537
5400,73.094955,38.79373,48.59005,45.463627,44.598873,42.130524,63.758965,92.54065,92.54065,52.78467,51.987793,49.963634,49.743263,50.229706,48.274395,47.681614,48.52772,49.08185,49.216248,49.21652,50.10479,51.441948,49.820007,48.97712,48.972805,48.960552,47.17073,45.916225,42.583862,46.29932,46.61248,46.747505,48.151955,48.17641,48.462593,47.432526,46.73778,46.590946,46.590942,46.590935,45.978916,45.979366,45.57926,45.571014,45.45605,45.449337,45.465755,45.48581,45.1481,45.39718,45.90878,45.8914,46.69696,46.701584,46.70235,47.129158,43.61546,43.353134,43.30113,45.728664,43.58088,42.994125,43.214817,42.74401,42.309982,42.16442,42.118008,42.00121,41.989162,41.982185,41.985424,41.97006,41.96748,41.997395,41.97742,41.977325,41.97708,41.975246,41.975277,41.97475,41.95231,41.984528,49.226646,49.23893,49.219536,49.28805,46.183456,46.26105,45.90532,45.49866,43.585976,43.342247,67.056,50.9016,44.59887,42.130524,48.59004
6300,73.112785,38.87073,48.677063,45.533016,44.702145,42.04878,63.762722,92.56593,92.56593,52.842285,52.0467,50.02993,49.80979,50.29191,48.34171,47.749466,48.59601,49.152645,49.28845,49.28864,50.1784,51.514038,49.895844,49.060238,49.05592,49.04366,47.25029,45.99322,42.66086,46.37563,46.68831,46.82313,48.22573,48.250233,48.53388,47.50255,46.806942,46.659943,46.659943,46.659927,46.047222,46.047672,45.647053,45.638744,45.52592,45.519608,45.53515,45.555546,45.212723,45.464146,45.976982,45.95992,46.765312,46.76996,46.770744,47.197216,43.66815,43.404366,43.35236,45.79643,43.630775,43.01916,43.2531,42.75403,42.29395,42.139633,42.092236,41.975437,41.963394,41.956417,41.959652,41.928047,41.92547,41.951336,41.926487,41.926353,41.926105,41.923264,41.9233,41.922134,41.89527,41.927494,49.29804,49.31012,49.290276,49.358463,46.25199,46.32952,45.97379,45.567616,43.636684,43.391914,67.056,50.9016,44.702145,42.04878,48.67705
7200,73.569626,39.753403,48.763607,46.239353,44.803238,41.97482,63.793365,92.77278,92.77278,54.317757,53.569023,51.25816,51.042175,51.80485,49.470432,48.78027,49.66194,50.024906,49.986126,50.04122,50.779705,52.102913,50.420677,49.310318,49.30706,49.29982,47.862904,46.84689,43.54353,47.282486,47.61277,47.752373,49.127106,49.148983,49.25162,48.242134,47.558186,47.4096,47.4096,47.40959,46.788277,46.788544,46.37477,46.366634,46.225548,46.212513,46.241516,46.26198,45.95887,46.206753,46.754936,46.725918,47.644905,47.64545,47.643597,48.154964,44.437576,44.17437,44.122787,46.56194,44.399208,43.69937,43.988697,43.371468,42.802467,42.61137,42.57214,42.50315,42.496033,42.491913,42.493824,42.230705,42.229187,42.225254,42.129005,42.128155,42.12801,42.10382,42.103973,42.07995,41.98956,42.00859,50.1426,50.167774,50.173073,50.268467,46.99666,47.13199,46.731255,46.280003,44.405354,44.15763,67.056,50.9016,44.803234,41.97482,48.763596
